chave;cnpj;nr_natureza_juridica;matriz;simples;simei;classificação;situacao
2062-0019-1994;00193994000100;2062;1;0;0;PRIVADO;BAIXADA
2135-4961-1978;49611130000150;2135;1;0;0;PRIVADO;BAIXADA
2135-0433-2001;04332958000130;2135;1;0;0;PRIVADO;BAIXADA
2135-2382-1987;23826423000160;2135;1;0;0;PRIVADO;BAIXADA
2062-0311-1999;03119545000100;2062;1;0;0;PRIVADO;ATIVA
4120-1399-2011;13996499000180;4120;1;0;0;PRIVADO;ATIVA
2062-0291-1998;02914017000180;2062;1;0;0;PRIVADO;ATIVA
2062-1700-2012;17007426000170;2062;1;0;0;PRIVADO;ATIVA
2135-0722-2005;07220777000100;2135;1;0;0;PRIVADO;BAIXADA
2135-1443-2011;14430652000170;2135;1;1;1;PRIVADO;ATIVA
4090-1594-2012;15941863000130;4090;1;0;0;PRIVADO;BAIXADA
4090-1595-2012;15957703000180;4090;1;0;0;PRIVADO;BAIXADA
4090-1600-2012;16001880000150;4090;1;0;0;PRIVADO;BAIXADA
2240-6402-1990;64027717000100;2240;1;0;0;PRIVADO;ATIVA
2135-0626-2004;06260687000180;2135;1;0;0;PRIVADO;ATIVA
2062-9580-1992;95803722000190;2062;1;0;0;PRIVADO;BAIXADA
2135-1091-2009;10918259000170;2135;1;0;0;PRIVADO;ATIVA
2135-1537-2012;15375019000190;2135;1;1;0;PRIVADO;ATIVA
2135-1152-2010;11527962000110;2135;1;1;1;PRIVADO;ATIVA
3999-0885-2007;08854824000130;3999;1;0;0;PRIVADO;ATIVA
